,Frequency,Uncertainty,Intensity,DoF,Lower state energy,Degerency,Quantum number coding,7,8,9,10,11,12,13,Lower quantum numbers,Upper quantum numbers
0,16737.0609,0.0,-3.152,3,0.0,3,59507,303,1,0,1,0.0,0.0,0.0,1 0 1,0.0 0.0 0.0
1,33473.9553,0.0,-2.3009,3,0.5583,5,59507,303,2,0,2,1.0,0.0,1.0,2 0 2,1.0 0.0 1.0
2,50210.5164,0.0,-1.8593,3,1.6749,7,59507,303,3,0,3,2.0,0.0,2.0,3 0 3,2.0 0.0 2.0
3,66946.5777,0.0,-1.6058,3,3.3497,9,59507,303,4,0,4,3.0,0.0,3.0,4 0 4,3.0 0.0 3.0
4,83681.9726,0.0,-1.471,3,5.5828,11,59507,303,5,0,5,4.0,0.0,4.0,5 0 5,4.0 0.0 4.0
5,100416.5346,0.0,-1.424,3,8.3741,13,59507,303,6,0,6,5.0,0.0,5.0,6 0 6,5.0 0.0 5.0
6,117150.0969,0.0,-1.4484,3,11.7237,15,59507,303,7,0,7,6.0,0.0,6.0,7 0 7,6.0 0.0 6.0
7,133882.493,0.0,-1.5343,3,15.6314,17,59507,303,8,0,8,7.0,0.0,7.0,8 0 8,7.0 0.0 7.0
8,150613.5564,0.0,-1.6754,3,20.0972,19,59507,303,9,0,9,8.0,0.0,8.0,9 0 9,8.0 0.0 8.0
9,167343.1203,0.0,-1.8673,3,25.1211,21,59507,30310,10,9,0,9.0,,,10 9 0,9.0 nan nan
10,184071.0182,0.0,-2.107,3,30.7031,23,59507,30311,11,10,10,,,,11 10 10,nan nan nan
11,200797.0836,0.0,-2.3921,3,36.8431,25,59507,30312,12,11,11,,,,12 11 11,nan nan nan
12,217521.1497,0.0,-2.7209,3,43.5409,27,59507,30313,13,12,12,,,,13 12 12,nan nan nan
13,234243.0501,0.0,-3.0921,3,50.7966,29,59507,30314,14,13,13,,,,14 13 13,nan nan nan
